group,sta,date,prcp,yr,Period
COT>1989,COT,1991-10-15,380,1991,>1989
GOR>1989,GOR,1991-10-15,259,1991,>1989
MIS>1989,MIS,1991-10-15,481,1991,>1989
OEL>1989,OEL,1991-10-15,350,1991,>1989
ONI>1989,ONI,1991-10-15,457,1991,>1989
RAP>1989,RAP,1991-10-15,256,1991,>1989
COT>1989,COT,1991-11-15,136,1991,>1989
GOR>1989,GOR,1991-11-15,294,1991,>1989
MIS>1989,MIS,1991-11-15,307,1991,>1989
OEL>1989,OEL,1991-11-15,209,1991,>1989
ONI>1989,ONI,1991-11-15,144,1991,>1989
RAP>1989,RAP,1991-11-15,186,1991,>1989
COT>1989,COT,1991-12-15,18,1991,>1989
GOR>1989,GOR,1991-12-15,0,1991,>1989
MIS>1989,MIS,1991-12-15,0,1991,>1989
OEL>1989,OEL,1991-12-15,25,1991,>1989
ONI>1989,ONI,1991-12-15,33,1991,>1989
RAP>1989,RAP,1991-12-15,10,1991,>1989
COT>1989,COT,1992-01-15,219,1992,>1989
GOR>1989,GOR,1992-01-15,198,1992,>1989
MIS>1989,MIS,1992-01-15,221,1992,>1989
OEL>1989,OEL,1992-01-15,115,1992,>1989
ONI>1989,ONI,1992-01-15,264,1992,>1989
RAP>1989,RAP,1992-01-15,73,1992,>1989
COT>1989,COT,1992-02-15,199,1992,>1989
GOR>1989,GOR,1992-02-15,127,1992,>1989
MIS>1989,MIS,1992-02-15,194,1992,>1989
OEL>1989,OEL,1992-02-15,234,1992,>1989
ONI>1989,ONI,1992-02-15,356,1992,>1989
RAP>1989,RAP,1992-02-15,41,1992,>1989
COT>1989,COT,1992-03-15,422,1992,>1989
GOR>1989,GOR,1992-03-15,396,1992,>1989
MIS>1989,MIS,1992-03-15,284,1992,>1989
OEL>1989,OEL,1992-03-15,502,1992,>1989
ONI>1989,ONI,1992-03-15,209,1992,>1989
RAP>1989,RAP,1992-03-15,488,1992,>1989
COT>1989,COT,1992-04-15,237,1992,>1989
GOR>1989,GOR,1992-04-15,46,1992,>1989
MIS>1989,MIS,1992-04-15,191,1992,>1989
OEL>1989,OEL,1992-04-15,145,1992,>1989
ONI>1989,ONI,1992-04-15,137,1992,>1989
RAP>1989,RAP,1992-04-15,182,1992,>1989
COT>1989,COT,1992-05-15,292,1992,>1989
GOR>1989,GOR,1992-05-15,106,1992,>1989
MIS>1989,MIS,1992-05-15,120,1992,>1989
OEL>1989,OEL,1992-05-15,826,1992,>1989
ONI>1989,ONI,1992-05-15,376,1992,>1989
RAP>1989,RAP,1992-05-15,627,1992,>1989
COT>1989,COT,1992-06-15,1457,1992,>1989
GOR>1989,GOR,1992-06-15,1328,1992,>1989
MIS>1989,MIS,1992-06-15,1067,1992,>1989
OEL>1989,OEL,1992-06-15,723,1992,>1989
ONI>1989,ONI,1992-06-15,1078,1992,>1989
RAP>1989,RAP,1992-06-15,553,1992,>1989
COT>1989,COT,1992-07-15,1060,1992,>1989
GOR>1989,GOR,1992-07-15,1057,1992,>1989
MIS>1989,MIS,1992-07-15,905,1992,>1989
OEL>1989,OEL,1992-07-15,904,1992,>1989
ONI>1989,ONI,1992-07-15,1129,1992,>1989
RAP>1989,RAP,1992-07-15,830,1992,>1989
COT>1989,COT,1992-08-15,257,1992,>1989
GOR>1989,GOR,1992-08-15,515,1992,>1989
MIS>1989,MIS,1992-08-15,754,1992,>1989
OEL>1989,OEL,1992-08-15,366,1992,>1989
ONI>1989,ONI,1992-08-15,468,1992,>1989
RAP>1989,RAP,1992-08-15,120,1992,>1989
COT>1989,COT,1992-09-15,107,1992,>1989
GOR>1989,GOR,1992-09-15,501,1992,>1989
