sta,date,prcp
COT,1972-10-15,143
COT,1973-10-15,429
COT,1974-10-15,201
COT,1975-10-15,125
COT,1976-10-15,58
COT,1977-10-15,478
COT,1978-10-15,50
COT,1979-10-15,416
COT,1980-10-15,640
COT,1981-10-15,416
COT,1982-10-15,997
COT,1983-10-15,460
COT,1984-10-15,13
COT,1985-10-15,308
COT,1986-10-15,374
COT,1987-10-15,68
COT,1988-10-15,140
COT,1989-10-15,242
COT,1990-10-15,83
COT,1991-10-15,380
COT,1992-10-15,5
COT,1993-10-15,97
COT,1994-10-15,488
COT,1995-10-15,627
COT,1996-10-15,691
COT,1997-10-15,469
COT,1998-10-15,895
COT,1999-10-15,36
COT,2000-10-15,335
COT,2001-10-15,168
COT,2002-10-15,314
COT,2003-10-15,168
COT,2004-10-15,420
COT,2005-10-15,163
COT,2006-10-15,134
COT,2007-10-15,442
COT,2008-10-15,289
COT,2009-10-15,990
COT,2010-10-15,328
COT,2011-10-15,120
COT,2012-10-15,226
COT,2013-10-15,1759
COT,2014-10-15,79
COT,2015-10-15,366
COT,2016-10-15,80
COT,2017-10-15,247
COT,2018-10-15,303
COT,1958-11-15,25
COT,1959-11-15,279
COT,1960-11-15,140
COT,1961-11-15,33
COT,1962-11-15,13
COT,1963-11-15,30
COT,1964-11-15,36
COT,1965-11-15,158
COT,1966-11-15,68
COT,1967-11-15,53
COT,1968-11-15,102
COT,1969-11-15,42
COT,1970-11-15,237
COT,1971-11-15,277
COT,1972-11-15,114
COT,1973-11-15,124
COT,1974-11-15,30
COT,1975-11-15,96
COT,1976-11-15,25
COT,1977-11-15,341
COT,1978-11-15,150
COT,1979-11-15,18
COT,1980-11-15,165
COT,1981-11-15,33
COT,1982-11-15,0
COT,1983-11-15,371
COT,1984-11-15,158
COT,1985-11-15,415
COT,1986-11-15,186
COT,1987-11-15,51
COT,1988-11-15,153
COT,1989-11-15,295
COT,1990-11-15,143
COT,1991-11-15,136
COT,1992-11-15,367
COT,1993-11-15,259
COT,1994-11-15,107
COT,1995-11-15,156
COT,1996-11-15,140
COT,1997-11-15,72
COT,1998-11-15,222
COT,1999-11-15,58
COT,2000-11-15,293
COT,2001-11-15,181
COT,2002-11-15,6
COT,2003-11-15,168
COT,2004-11-15,24
COT,2005-11-15,73
COT,2006-11-15,110
COT,2007-11-15,6
COT,2008-11-15,521
COT,2009-11-15,38
COT,2010-11-15,150
COT,2011-11-15,94
COT,2012-11-15,43
COT,2013-11-15,79
COT,2014-11-15,134
COT,2015-11-15,201
COT,2016-11-15,41
COT,2017-11-15,28
COT,1958-12-15,92
COT,1959-12-15,5
COT,1960-12-15,68
COT,1961-12-15,100
COT,1962-12-15,11
COT,1963-12-15,58
COT,1964-12-15,150
COT,1965-12-15,155
COT,1966-12-15,122
COT,1967-12-15,132
COT,1968-12-15,121
COT,1969-12-15,127
COT,1970-12-15,72
COT,1971-12-15,84
COT,1972-12-15,54
COT,1973-12-15,48
COT,1974-12-15,9
COT,1975-12-15,139
COT,1976-12-15,64
COT,1977-12-15,179
COT,1978-12-15,53
COT,1979-12-15,0
COT,1980-12-15,302
COT,1981-12-15,77
COT,1982-12-15,86
COT,1983-12-15,122
COT,1984-12-15,97
COT,1985-12-15,119
COT,1986-12-15,0
COT,1987-12-15,112
COT,1988-12-15,130
COT,1989-12-15,137
COT,1990-12-15,112
COT,1991-12-15,18
COT,1992-12-15,56
COT,1993-12-15,142
COT,1994-12-15,64
COT,1995-12-15,26
COT,1996-12-15,278
COT,1997-12-15,16
COT,1998-12-15,38
COT,1999-12-15,34
COT,2000-12-15,146
COT,2001-12-15,0
COT,2002-12-15,36
COT,2003-12-15,22
COT,2004-12-15,11
COT,2005-12-15,222
COT,2006-12-15,89
COT,2007-12-15,104
COT,2008-12-15,209
COT,2009-12-15,259
COT,2010-12-15,119
COT,2011-12-15,38
COT,2012-12-15,42
COT,2013-12-15,196
COT,2014-12-15,103
COT,2015-12-15,374
COT,2016-12-15,172
COT,2017-12-15,74
GOR,1959-01-15,92
GOR,1960-01-15,129
GOR,1961-01-15,0
GOR,1962-01-15,29
GOR,1963-01-15,129
GOR,1964-01-15,5
GOR,1965-01-15,125
GOR,1966-01-15,59
GOR,1967-01-15,18
GOR,1968-01-15,76
GOR,1969-01-15,102
GOR,1970-01-15,43
GOR,1971-01-15,129
GOR,1972-01-15,76
GOR,1973-01-15,221
GOR,1974-01-15,130
GOR,1975-01-15,38
GOR,1976-01-15,96
GOR,1977-01-15,59
GOR,1978-01-15,16
GOR,1979-01-15,98
GOR,1980-01-15,125
GOR,1981-01-15,22
GOR,1982-01-15,107
GOR,1983-01-15,56
GOR,1984-01-15,61
GOR,1985-01-15,64
GOR,1986-01-15,38
GOR,1987-01-15,38
GOR,1988-01-15,258
