sta,ecoreg,type,watshed,gage_group,drain_dens,area,elev,field_cap,slope,jul_temp,TWI,NMDS1,NMDS2,gof
wcc_ogl,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,2.70366512705439,2.14106426412315,2.53432664821123,2.9959636345089,3.46291181462016,4.90162781536032,3.3431349315999,-1.27997132774767,-0.047194350417933,0.0122299005122574
whi_int,White River Badlands,gaged,White Riv,Tertiary Clays,3.36053463035994,3.31355183733345,1.34524868456277,3.83351638187397,2.46702815337797,5.01055287792389,2.27384997569734,0.217670730154754,1.13464823533284,0.00896243134224556
whi_kad,White River Badlands,gaged,White Riv,Tertiary Clays,3.33579304081247,3.41550727848217,1.02956061562297,3.81385092964034,2.46702815337797,5.01055287792389,2.19946305419136,0.409926693953988,1.25140757027998,0.0101633489674573
whi_oac,Pierre Shale Plains,gaged,White Riv,Pierre Shale,3.11614647293086,3.7723513225027,0,3.83351638187397,1.95507355566372,5.11947794048745,1.57379274084025,1.41415397925669,1.64855427707691,0.0123758148024191
whi_ogl,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,3.53980847544958,3.00768551388728,2.41345277320977,3.73483317879931,2.46702815337797,4.79270275279676,2.38738712323965,-0.304699547214335,0.84814853920079,0.0076583929101064
whi_slm,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,3.57578525511023,2.75279691101548,2.55042256990948,3.63524539833037,2.46702815337797,4.79270275279676,2.36829892072519,-0.368449327423836,0.706996056378576,0.00775677048980573
whi_sta,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,3.62006854186173,2.75279691101548,2.73464409420565,3.57504804027067,2.46702815337797,4.6837776902332,2.34927726624294,-0.473704475001306,0.706497279662239,0.00906602162442773
whi_whi,White River Badlands,gaged,White Riv,Tertiary Clays,3.31451222923603,3.51746271963089,0.526537146065381,3.89230222308038,2.46702815337797,5.11947794048745,2.01792344367274,0.765987556109875,1.48817142363729,0.0125588279044022
wkc_wok,Pine Ridge Escarpment,gaged,White Riv,Tertiary Clays,2.29224254065392,1.27444301435902,3.21107986012477,2.64967508194513,1.95507355566372,4.6837776902332,1.96466335468902,-0.17867545099418,-0.969266514800962,0.0118189367307931
AMH1,Keya Paha Tablelands,ungaged,White Riv,Keya Paha Tablelands,3.02392138950966,0.713688088041051,3.38007824708386,4.21967209460498,2.46702815337797,4.90162781536032,1.72315689483599,-0.594352201815492,-0.678166451075206,0.0175078733059065
