sta,ecoreg,date,log_q1_mon,sci_1mo,sci_2mo,sci_3mo,sci_4mo,sci_6mo,sci_9mo,sci_12mo
bat_bhr,Pierre Shale Plains,2014-11-15,1.979834213152,0.840455310951427,0.971319980528007,0.876232989694456,0.811400153018954,0.657776469241959,0.366945520599471,0.279205884094442
bat_bhr,Pierre Shale Plains,2014-12-15,1.95060608191233,1.07804719341237,0.952780973344136,1.01533827084085,0.69691102490905,0.52372230135438,0.404926657694953,0.351711272475768
bat_bhr,Pierre Shale Plains,2015-01-15,1.96149171925238,1.25282396762052,1.16731307520261,1.04332510288682,1.07314344168495,0.685029712797546,0.622046507427139,0.379641977424838
bat_bhr,Pierre Shale Plains,2015-02-15,1.81963288645878,0.742981947253824,0.961137669080856,0.936786264897725,0.904131445141645,0.763349383314845,0.457232076566596,0.388514720703898
bat_bhr,Pierre Shale Plains,2015-03-15,1.75700466539796,0.503481023425319,0.619035389586407,0.789125338326607,0.787941236174215,0.875734087279443,0.651541733227521,0.352428505936924
bat_bhr,Pierre Shale Plains,2015-04-15,1.74835870134461,0.432587615123489,0.48962610832072,0.546677885068138,0.674352884899179,0.753853513896945,0.670254760128155,0.368935592799384
bat_bhr,Pierre Shale Plains,2015-05-15,2.32541135439522,0.973073227357483,0.757641689276001,0.724634618613582,0.734695063718329,0.848561824849742,0.831635429965628,0.369283115179837
bat_bhr,Pierre Shale Plains,2015-06-15,2.95180876639714,2.26091362620242,1.62838001927157,1.34360733214135,1.20851097749615,1.18816244819124,1.17568316518442,0.948391242393916
bat_bhr,Pierre Shale Plains,2015-07-15,2.53200827144243,2.4123637992445,2.35036087271645,2.13296880431709,1.67961711842195,1.35973153597903,1.33157537911871,1.19732989150952
bat_bhr,Pierre Shale Plains,2015-08-15,2.17703348708338,1.56175178770737,2.50355922220245,2.40582274611599,1.45634106973957,1.49443035686616,1.42309527588598,1.334388422147
bat_bhr,Pierre Shale Plains,2015-09-15,2.05090589450272,1.42357879630204,1.50616843176177,1.38542457671739,2.46953643838469,1.63966378006073,1.4365958894733,1.40379737274632
bat_bhr,Pierre Shale Plains,2015-10-15,2.02290768338295,0.974628011098377,1.13917899848381,1.35497512126641,1.65625069091753,1.36321095112058,1.35779256490554,1.34165220650123
bat_bhr,Pierre Shale Plains,2015-11-15,2.03097659683042,0.993940018288194,0.972452156164733,1.09917438293591,1.16530462694873,1.39689882196721,1.40469049413449,1.3624869941016
bat_bhr,Pierre Shale Plains,2015-12-15,1.94673401367719,1.06111619105141,1.03657604372966,1.01104754048062,0.991772563885961,1.44389981953132,1.47900631551737,1.35267851930889
bat_bhr,Pierre Shale Plains,2016-01-15,1.90753028350814,0.988651260651894,1.01490734036944,1.034100397498,1.00750893224066,1.13372699759583,1.31333774463319,1.31018845492508
bat_bhr,Pierre Shale Plains,2016-02-15,1.89297536293584,0.937173752535331,0.992301122735326,0.958124032092423,0.968792250371803,0.960730752820609,3,1.31105812321186
bat_bhr,Pierre Shale Plains,2016-03-15,1.84483205168344,0.76437068618606,0.858470269162264,0.90763879602974,0.885863741175149,0.943320053420005,1.32712025824003,1.26275821822781
bat_bhr,Pierre Shale Plains,2016-04-15,1.85478024312487,0.682961863680376,0.744255668383172,0.794249817104435,0.836892946107652,0.895763138760591,1.00794119524004,1.3925713425509
bat_bhr,Pierre Shale Plains,2016-05-15,1.96281484514547,0.202580765231496,0.437544730147429,0.573421392651362,0.668702058337937,0.765531353878146,0.877491173135312,1.03878387836062
bat_bhr,Pierre Shale Plains,2016-06-15,1.78297779461917,-0.205789744294521,-0.0502831327417401,0.107601358002456,0.292290783522976,0.528310765636466,0.676877199145612,0.920447199249599
bat_bhr,Pierre Shale Plains,2016-07-15,1.64182373255827,0.0439683485755623,-0.0777576778589024,-0.0755529954423377,0.0502850750778687,0.325803482166962,0.552390243733369,0.736020221956347
bat_bhr,Pierre Shale Plains,2016-08-15,1.58135647617738,0.0897652728686683,0.033970549613046,-0.0256045080395806,0.14166844135756,0.198763330239851,0.438734597351943,0.62201077569906
bat_bhr,Pierre Shale Plains,2016-09-15,1.58503367479918,0.224457695327449,0.162371169340617,0.299401811424982,0.00645580649464028,0.10217700836137,0.36907456486715,0.52085474289971
bat_bhr,Pierre Shale Plains,2016-10-15,1.65577453171117,0.225797824092613,0.337583666126917,0.137235430969489,-0.0249735699719425,0.196126090206629,0.255623632036495,0.420126501060606
bat_bhr,Pierre Shale Plains,2016-11-15,1.66209765319596,0.127537444489785,0.167794760694243,0.267683441347803,0.28980094382558,0.17591016834866,0.169718811795014,0.320957991653834
bat_bhr,Pierre Shale Plains,2016-12-15,1.57375099573683,0.0283452914467996,0.0876980261637783,0.0645017876463486,-0.0818256017753813,-0.0802979496562951,0.0698475847349596,0.262244547375276
bat_bhr,Pierre Shale Plains,2017-01-15,1.6007372873224,0.122609235206425,0.0188750238247165,0.0754092384486195,0.0548080337606089,0.000255651714284067,0.168756281815319,0.171559286428198
bat_bhr,Pierre Shale Plains,2017-02-15,1.69030489025144,0.431775718777318,0.311709247378146,0.105674489752575,0.102012354177892,0.0457503502594263,-0.162935219902695,0.0853278882838422
bat_bhr,Pierre Shale Plains,2017-03-15,1.68531252237679,0.3152415128032,0.357426917358704,0.282293176144631,0.130875395752221,0.121104905531635,0.0641635429007905,0.00276521866328795
bat_bhr,Pierre Shale Plains,2017-04-15,1.69152278638954,0.305287320655039,0.333088633266734,0.332142403506351,0.274531015254438,0.180122806584347,0.106718930917502,-0.0544593863425847
bat_bhr,Pierre Shale Plains,2017-05-15,1.67896262517418,-0.246081033273414,-0.0296093166416715,0.0989483601201458,0.174483824047987,0.107250192128338,0.101217033674513,-0.226704651630476
bat_bhr,Pierre Shale Plains,2017-06-15,1.54926888324502,-0.456847794005879,-0.382568253532476,-0.263910562583262,-0.120616634901767,0.0253068882003033,0.0218770021221669,0.0109574160626497
bat_bhr,Pierre Shale Plains,2017-07-15,1.30218671712029,-0.364722756385601,-0.409497596844456,-0.411119706137733,-0.321908273155214,-0.117292877049981,-0.0582350942260552,-0.00610390885707521
bat_bhr,Pierre Shale Plains,2017-08-15,1.35690355760159,-0.200095543165681,-0.307190910062226,-0.346342878840126,-0.225353414442544,-0.195634079527528,-0.102409221147529,-0.0211310250024634
bat_bhr,Pierre Shale Plains,2017-09-15,1.29713350788961,-0.181657009221037,-0.186483261388832,-0.092000084183038,-0.324031388226331,-0.26706338005842,-0.0912273127314333,-0.0626382243911661
brsf_co,Pierre Shale Plains,1989-01-15,0.113300429196226,-3,,,,,,
brsf_co,Pierre Shale Plains,1989-02-15,0.113300429196226,-3,-3,,,,,
brsf_co,Pierre Shale Plains,1989-03-15,1.21093978776228,0.67153077679478,0.180610123443891,-0.051694179758829,,,,
brsf_co,Pierre Shale Plains,1989-04-15,0.262585979049354,-1.00797634564449,-0.0852211284878613,-0.32989937875645,-0.459707852392608,,,
brsf_co,Pierre Shale Plains,1989-05-15,0.40882909088754,-1.08315101538915,-1.43777640806186,-0.636912398933793,-0.857140471346532,,,
brsf_co,Pierre Shale Plains,1989-06-15,0.113300429196226,-1.37683781040827,-1.82950061912142,-1.97157164450641,-1.10761117363651,-1.32875188380567,,
brsf_co,Pierre Shale Plains,1989-07-15,0.169441161115395,-0.966905696942705,-1.38020331519417,-1.74453383456823,-1.87830565137771,-1.27812715237576,,
brsf_co,Pierre Shale Plains,1989-08-15,0.113300429196226,-3,-1.33244400323968,-3,-1.41439415904847,-1.17960880306646,,
brsf_co,Pierre Shale Plains,1989-09-15,0.542470703064312,1.49986858488279,0.422542974445995,-0.154453468572807,-1.07526037954694,-3,-1.17632654326073,
brsf_co,Pierre Shale Plains,1989-10-15,0.113300429196226,-3,0.429788829996712,-0.116591843422549,-0.541019968759074,-1.8564118655414,-1.13786025179921,
brsf_co,Pierre Shale Plains,1989-11-15,0.113300429196226,-3,-3,0.140443171180102,-0.329340781118038,-1.36239336574951,-0.843955677477369,
brsf_co,Pierre Shale Plains,1989-12-15,0.113300429196226,-0.171478391143659,-3,-3,-0.0281389651414928,-0.693844445699527,-3,-1.32106583850854
brsf_co,Pierre Shale Plains,1990-01-15,0.49942744525964,2.05486497381546,0.361813259393736,0.152207107160526,-0.048809548073144,-0.0973285070239466,-1.03815081126134,-1.04858927642629
brsf_co,Pierre Shale Plains,1990-02-15,0.188313662950424,-0.895426180883331,0.245562559338374,-0.167263492625363,-0.151448864975739,0.00872669303981627,-1.03205548424628,-0.960197707139692
brsf_co,Pierre Shale Plains,1990-03-15,0.829384718416998,0.102487102693537,-0.12768497928673,0.0269982292582823,-0.210982864136764,-0.117804072366906,-0.209819177793615,-0.949343484705936
brsf_co,Pierre Shale Plains,1990-04-15,0.113300429196226,-1.4407525671529,-0.733370670843623,-0.841466687933575,-0.530778768508088,-0.579815376822039,-0.617144293669107,-1.30676955409305
brsf_co,Pierre Shale Plains,1990-05-15,1.02782732387581,0.186595997439571,-0.724734648560589,-0.548140086350663,-0.713741109903932,-0.580123941519859,-0.537431315748974,-1.0757018267549
brsf_co,Pierre Shale Plains,1990-06-15,0.448131516658094,-0.760475130720566,-0.279049879156933,-0.809635193044844,-0.754948973848606,-0.724618197987004,-0.874847659241539,-0.978108368124597
brsf_co,Pierre Shale Plains,1990-07-15,0.302336013858563,-0.285450046788044,-0.74952398823203,-0.346729332794428,-0.815865660577364,-0.880903938949757,-0.894728005161822,-0.8883185478652
brsf_co,Pierre Shale Plains,1990-08-15,0.362765742370927,0.261020660508059,-0.145691469535826,-0.316099244182731,-0.414253361702638,-0.627073150893225,-0.743156816818464,-0.733599823671452
brsf_co,Pierre Shale Plains,1990-09-15,0.113300429196226,-3,0.108825550814889,-0.243259093834576,-0.553344848359006,-0.571141817149173,-0.572066160181179,-0.756310447182182
brsf_co,Pierre Shale Plains,1990-10-15,0.113300429196226,-3,-3,-0.503344681828823,-0.63441098359468,-0.399564143169966,-0.803234673919324,-0.827638961716839
brsf_co,Pierre Shale Plains,1990-11-15,0.113300429196226,-3,-3,-3,-0.656074877174564,-0.839325670652298,-0.515305295318715,-0.951823550436265
brsf_co,Pierre Shale Plains,1990-12-15,0.113300429196226,-0.171478391143659,-3,-3,-3,-0.778288002068974,-0.770935396554267,-0.575073854051453
brsf_co,Pierre Shale Plains,1991-01-15,0.113300429196226,-3,-3,-0.683201613016997,-3,-0.91019565118727,-0.489640840155838,-1.02038165092268
brsf_co,Pierre Shale Plains,1991-02-15,0.113300429196226,-3,-3,-1.22731474456373,-3,-3,-1.23626044296846,-1.03002391520881
brsf_co,Pierre Shale Plains,1991-03-15,0.324396195831502,-1.13124985311631,-1.31749176173847,-1.68623075493951,-1.37169085409198,-3,-1.14726655743526,-1.14631324255002
brsf_co,Pierre Shale Plains,1991-04-15,0.577057106740106,-0.303872874725935,-0.793663022391744,-1.01761448681291,-1.22236447137876,-1.20465469805088,-1.20672113055061,-0.975225609365366
brsf_co,Pierre Shale Plains,1991-05-15,1.56348884464943,0.812478871285681,0.349090991943302,-0.107185693231835,-0.386297363806817,-0.556218492579586,-0.771675780251724,-0.918374404558145
brsf_co,Pierre Shale Plains,1991-06-15,2.31520419324028,1.50549411729219,1.21049900997584,0.9420865751258,0.602364459402911,0.244028783786277,-0.0158346638515633,-0.214834706953469
brsf_co,Pierre Shale Plains,1991-07-15,0.789560296118137,0.723566215978825,1.26734849602771,1.12111152938895,0.919045218814255,0.374281768089681,0.113178944036858,-0.0716666166037572
brsf_co,Pierre Shale Plains,1991-08-15,0.374525439924549,0.299416131639196,0.486694947953961,1.02920113430235,1.00504293593316,0.579132431302344,0.218742860933631,-0.0238247882826589
brsf_co,Pierre Shale Plains,1991-09-15,0.369455539076685,0.882559891183575,0.543297471336451,0.686841528419118,1.00941947898202,0.928607606662852,0.42045891090816,0.208745475676648
brsf_co,Pierre Shale Plains,1991-10-15,0.277281610241616,-0.0147949011426027,0.41267112395133,0.264950584962441,0.46369742911016,0.955651925127275,0.409209726896647,0.215553147177328
brsf_co,Pierre Shale Plains,1991-11-15,0.589607274066,1.32314851149738,0.658977620037985,0.830856229429323,0.412442099914431,0.900319584842326,0.836779577032911,0.192096829747577
brsf_co,Pierre Shale Plains,1991-12-15,0.237158614017866,0.605280305900152,1.43264344479129,0.982457545765725,0.798159379369828,0.570053278772164,0.847382616396981,0.532634052460744
brsf_co,Pierre Shale Plains,1992-01-15,0.22346085977593,0.500699644633239,-0.0627296532039335,0.613544815930661,0.736230839653088,0.370047330831177,1.01590196944061,0.33173905110154
brsf_co,Pierre Shale Plains,1992-02-15,0.834313526005485,0.793840083229262,0.802425587526433,0.494865543944779,0.747256335129404,0.632539101761219,0.853885112861222,0.555415208435198
brsf_co,Pierre Shale Plains,1992-03-15,0.898815075761803,0.218567957190495,0.502318173057914,0.403082436734601,0.306960396597778,0.518202769219827,0.574160500491842,0.769450684654156
brsf_co,Pierre Shale Plains,1992-04-15,0.182606470731147,-1.22849251897838,-0.543324465787032,-0.053880805817989,-0.0793756305568256,0.166027530811945,0.10758228291257,0.635984384586621
brsf_co,Pierre Shale Plains,1992-05-15,0.267885798681138,-1.76880702974308,-1.87369971401367,-1.27882170716626,-0.692845895270518,-0.673847157823016,-0.354215344635011,0.234232104454995
brsf_co,Pierre Shale Plains,1992-06-15,1.13648180218528,0.233005772600033,-0.34870675306603,-0.811902073502789,-0.703961373824113,-0.471191781633342,-0.299581597051107,-0.194465051071399
brsf_co,Pierre Shale Plains,1992-07-15,1.31155139622157,1.33827525774214,0.811704837104133,0.260507888695408,-0.135915812235178,-0.0383423250436187,-0.0154221996211632,-0.0412809967354585
brsf_co,Pierre Shale Plains,1992-08-15,0.205117755393961,-0.453912002263891,0.803143836666705,0.684156879607738,0.0337410087238024,-0.157901578156507,-0.138165581868928,-0.0530234854310894
brsf_co,Pierre Shale Plains,1992-09-15,0.113300429196226,-3,-0.361109967498048,0.767631521708043,0.563424386301504,-0.0257968579970191,-0.00679461696870701,0.0383083555111052
brsf_co,Pierre Shale Plains,1992-10-15,0.113300429196226,-3,-3,-1.09047874895531,0.40885444805978,0.063140865297223,-0.0835870895800456,-0.0583934819757512
brsf_co,Pierre Shale Plains,1992-11-15,0.113300429196226,-3,-3,-3,-1.16076047935036,0.258697401759504,-0.0167663110725146,-0.425639185797927
brsf_co,Pierre Shale Plains,1992-12-15,0.113300429196226,-0.171478391143659,-3,-3,-3,0.154421956839864,-0.242634361578538,-0.02767808482486
brsf_co,Pierre Shale Plains,1993-01-15,0.123011074217645,-1.20014849987487,-1.80259696546149,-0.653885810559723,-2.10613587820997,-1.39204251666277,-0.0185568355800473,-0.408067403975155
brsf_co,Pierre Shale Plains,1993-02-15,0.558370027288218,0.331470182992307,0.233704063705685,-0.177647206459063,-0.160654144302662,-0.454179064695248,0.104779695374907,-0.295297028801558
brsf_co,Pierre Shale Plains,1993-03-15,1.68298576238958,1.22107605186192,0.824152847486206,0.691985779983297,0.541365781046645,0.362780518966792,0.49091514168814,0.106005510422663
brsf_co,Pierre Shale Plains,1993-04-15,1.36209383848706,0.915424250747761,1.18961340672179,0.910338821181245,0.842530817229324,0.609615084633674,0.270223597922409,0.292470475164241
brsf_co,Pierre Shale Plains,1993-05-15,1.43960389268333,0.684237855357924,0.897090279587269,1.17080787550225,0.948332835283976,0.79898154139025,0.414984632713711,0.498449647040086
brsf_co,Pierre Shale Plains,1993-06-15,1.32822527435169,0.468155486031595,0.650922696825418,0.798800923398021,1.03780876210447,0.837010941909303,0.507741480882676,0.544313447555767
brsf_co,Pierre Shale Plains,1993-07-15,1.71390780722052,1.70411802553081,1.22610920532928,1.05179709691432,1.13083806959164,1.15676039922773,0.92462665737777,0.626820747391857
brsf_co,Pierre Shale Plains,1993-08-15,1.19163166387733,1.84355226779977,1.68236315248068,1.29600962218308,1.24879707716211,1.35423101369882,1.16924212612236,0.883902293904037
brsf_co,Pierre Shale Plains,1993-09-15,0.621447960947003,1.72997576412934,1.45735411086047,1.87331179685306,1.34158553799421,1.31417795717545,1.19758323269926,0.967355671343289
brsf_co,Pierre Shale Plains,1993-10-15,0.342215964343692,0.228187039917747,0.909146385161401,1.29747333585235,1.61815143299145,1.19530917784172,1.15811485663294,1.00369596680229
brsf_co,Pierre Shale Plains,1993-11-15,0.294588338068513,0.327044210214119,0.272682694036953,0.856577859476683,0.93262507176641,1.12593509110029,1.38002891761581,1.10452022095948
brsf_co,Pierre Shale Plains,1993-12-15,0.720016908511155,2.25590550744912,1.79546874314808,1.32786518018109,1.27469163214942,1.48543323451478,1.22808426951837,1.18809491725782
brsf_co,Pierre Shale Plains,1994-01-15,0.61073410103648,2.47271367956133,1.52711175500127,1.23015866670856,1.40423460745716,1.24827917848992,1.34162602848163,1.35711161776134
brsf_co,Pierre Shale Plains,1994-02-15,1.0879933843712,1.12528401186676,1.46671180193927,1.50418639607207,1.21935555986682,1.13650494231231,1.32664668512326,1.17213389324389
brsf_co,Pierre Shale Plains,1994-03-15,1.213968276976,0.675492178282609,0.858620732911706,1.02380160496438,1.36939468139296,0.945331497747626,1.35940545674557,1.20551343038428
brsf_co,Pierre Shale Plains,1994-04-15,0.488496215423148,-0.482169732261045,0.144313824947733,0.507694317856722,0.686419894337215,0.783967714870899,0.982320259414785,1.06587618963761
brsf_co,Pierre Shale Plains,1994-05-15,1.10971708875138,0.296629574442554,-0.183310088993101,0.159714211809788,0.413188299103948,0.77765948337656,0.731134960552981,1.11568123592867
brsf_co,Pierre Shale Plains,1994-06-15,0.752059128031,-0.287316722283317,0.0518818171931158,-0.18328648141758,-0.00841064806837624,0.353887943555493,0.437675051695077,1.00596268993873
brsf_co,Pierre Shale Plains,1994-07-15,0.546390577984532,0.323848877574655,-0.157617559357012,0.08387156181385,-0.136978320646946,0.191124148365432,0.400155059865503,0.659113253799153
brsf_co,Pierre Shale Plains,1994-08-15,0.490105855201816,0.626400173565523,0.352775460605423,0.218229966056682,0.0215801385679742,0.0965398869162773,0.460112483549806,0.470080198056036
brsf_co,Pierre Shale Plains,1994-09-15,0.305193369155163,0.584586917453036,0.607238257303459,0.510712465031022,0.198272903039642,0.191525694761019,0.43809897657054,0.477849469831174
brsf_co,Pierre Shale Plains,1994-10-15,0.641936790941142,0.967221257717386,0.887158447243037,0.72269658925252,0.595457316854922,0.365967495031681,0.391374295076476,0.521279632164683
brsf_co,Pierre Shale Plains,1994-11-15,0.113300429196226,-3,0.485689741153485,0.607862021034529,0.366375044585161,0.190223748222033,0.446079863948434,0.361202694020278
brsf_co,Pierre Shale Plains,1994-12-15,0.165663309531642,0.202929366626728,-0.653459137360428,0.683533571901418,0.506810011184528,0.352351795909054,0.18098953796517,0.506769147056082
brsf_co,Pierre Shale Plains,1995-01-15,0.128691437412989,-0.952439286523676,-0.886892646164277,-0.492529001569142,0.342502512469868,0.205874311496131,0.298900211015721,0.123183483590592
brsf_co,Pierre Shale Plains,1995-02-15,0.903158231210452,0.890302021425444,0.769520122958768,0.381481695970821,0.300604791642615,0.483424604521711,0.210459295375212,0.211196140297845
brsf_co,Pierre Shale Plains,1995-03-15,0.634701007134695,-0.268393866401913,0.357966968265904,0.164755682931899,-0.0161300398834676,0.307387244223566,0.350892733112644,0.19996526891266
brsf_co,Pierre Shale Plains,1995-04-15,1.44882723951986,1.02482725681406,0.484102962514807,0.612589648164496,0.538686634468186,0.373385276697936,0.437395569366641,0.326184118335309
brsf_co,Pierre Shale Plains,1995-05-15,2.52532930564374,1.62181941304655,1.70185898054012,1.23392989466853,1.14238579259383,1.02241784551071,0.858590048003974,0.602912279463954
brsf_co,Pierre Shale Plains,1995-06-15,1.94703791887879,1.14656850884636,1.46430573429965,1.50861988328528,1.31868589410535,1.21747548083862,1.00816375755496,0.928535235515228
brsf_co,Pierre Shale Plains,1995-07-15,0.312068913847992,-0.252568988150396,0.669808241486356,1.16331703126705,1.26075738824876,1.06391649326551,0.845314500194563,0.837517266402437
brsf_co,Pierre Shale Plains,1995-08-15,0.113300429196226,-3,-0.671725127229322,0.548369998732496,0.946653134621122,0.89538495170986,0.807805483937647,0.72812029177248
brsf_co,Pierre Shale Plains,1995-09-15,0.113300429196226,-3,-3,-0.995668603845978,0.42281524089555,1.04561425622876,0.812163887214545,0.713982956188197
brsf_co,Pierre Shale Plains,1995-10-15,0.407404626998508,0.428061606385968,0.1423938894174,-0.392035193781177,-0.526797660871561,0.881002030886001,0.804431205655656,0.645679069548845
brsf_co,Pierre Shale Plains,1995-11-15,0.49179172176049,1.0537890146402,0.705367304579047,0.541023751730314,-0.0205078411521146,0.429628267817938,1.01219739817903,0.681098589662891
brsf_co,Pierre Shale Plains,1995-12-15,0.113300429196226,-0.171478391143659,0.898734273974695,0.839589153418644,0.371057923926099,-0.200490871954979,0.928896950790095,0.825830246077447
brsf_co,Pierre Shale Plains,1996-01-15,0.294972992491704,1.0350339881346,-0.254068493983951,0.414945919636973,0.7108606023224,-0.0595280238890242,0.914727221859316,0.749877865270113
brsf_co,Pierre Shale Plains,1996-02-15,1.05459359611023,1.08504760258095,1.13440198576112,0.676724975282866,0.79310065579018,0.603278677664991,0.500756425385451,0.731587181640934
brsf_co,Pierre Shale Plains,1996-03-15,0.758579277692231,-0.0237129425407384,0.557605864889323,0.515766610997958,0.330514792130679,0.54266030365726,0.249121027698501,0.858267482631183
brsf_co,Pierre Shale Plains,1996-04-15,0.346745804311319,-0.797834012707044,-0.512347544585275,0.122684745713614,0.145537313123203,0.213960240580788,-0.0228629078164006,0.600089487194878
brsf_co,Pierre Shale Plains,1996-05-15,1.19342702740527,0.402620568535238,-0.246413637037228,-0.246119650738437,0.113883912898429,0.0482927255584666,0.0695107237436994,0.168935899546415
brsf_co,Pierre Shale Plains,1996-06-15,0.703872570277021,-0.358122298414304,0.0793351690176908,-0.258895775524186,-0.345635137695565,-0.0551560849944334,-0.00888671642467531,-0.296627682258543
brsf_co,Pierre Shale Plains,1996-07-15,0.214546185128467,-0.660367261937976,-0.554989284615007,-0.104757202166817,-0.403715633186868,-0.19397121302875,-0.215959776679444,-0.351323122679627
