sta,date,prcp,yr,spi_1mo,spi_2mo,spi_3mo,spi_4mo,spi_6mo,spi_9mo,spi_12mo
ONI,2001-12-15,36,2001,-1.76513287289086,0.942620487078733,0.602543636137829,0.14710327620682,0.347810340077089,0.211660342165555,0.0839628010550219
ONI,2002-01-15,130,2002,0.193634382702629,-0.650062795065711,0.764779714014215,0.555423419131358,-0.25195543029004,-0.128715826023406,0.0949582845048836
ONI,2002-02-15,21,2002,-1.85099431952873,-1.22790936456345,-1.50671667629528,-0.0208187966471915,-0.193082126174502,-0.45551290160138,-0.206370628596264
ONI,2002-03-15,188,2002,-0.133198530296593,-1.33810818007303,-1.17745844086204,-1.36623890203016,-0.100881802749721,-0.0529918714626766,-0.0737426982186736
ONI,2002-04-15,191,2002,-0.886312119657785,-1.23518984833612,-1.67788989396514,-1.61094257696613,-0.892262698084604,-0.964127983301203,-0.785365827320297
ONI,2002-05-15,213,2002,-1.65381076130568,-1.94261955250119,-1.98942592898849,-2.22606696760131,-2.39455831992136,-2.30243002563235,-1.67191375949586
ONI,2002-06-15,569,2002,-0.784917177649914,-1.37051540848535,-1.75338356131308,-1.90608896161845,-2.18163389405762,-2.075931806301,-1.20070581877578
ONI,2002-07-15,515,2002,-0.208065251571635,-0.926649225823569,-1.36511694093733,-1.69145729345646,-1.89783759274257,-1.9614943996708,-1.66464508814599
ONI,2002-08-15,1052,2002,1.42420066522613,0.963678762706225,0.122604007450527,-0.85964649958279,-1.55877606629457,-2.19964914557238,-1.6478375444785
ONI,2002-09-15,458,2002,0.239429698261998,0.865350972749982,0.64951759756492,0.124312618050196,-1.24065566545636,-1.5038316588184,-1.02922248716942
ONI,2002-10-15,168,2002,-0.557214178674179,-0.496655738981152,0.313639588876337,0.155748640662379,-0.904756374606855,-1.90381734253496,-1.29597541871263
ONI,2002-11-15,16,2002,-1.66169466975837,-1.40456448862397,-0.939620506794802,0.051496199976582,-0.561075668267992,-1.6254181225734,-2.00371653819277
ONI,2002-12-15,58,2002,-0.769025966921967,-1.68374278545939,-2.14575287410882,-1.1079546491216,-0.22965059727047,-1.84630029189945,-2.04069730289772
ONI,2003-01-15,144,2003,0.34681310271003,-0.336725953819913,-1.08479922519218,-1.52688399845863,-0.118658026828199,-1.21742180926927,-2.01083748953549
ONI,2003-02-15,287,2003,0.860364214322531,0.724927802981451,0.159396469474166,-0.513826129340251,-0.843452153471828,-0.595597598540555,-1.5723240902265
ONI,2003-03-15,110,2003,-0.746895532282109,-0.177271546799946,-0.213197690039005,-0.466542661039803,-1.39537393853196,-0.350324641245565,-1.82230588219728
ONI,2003-04-15,544,2003,0.419329255040239,-0.230159518327584,-0.00658930728809545,-0.0141669868812898,-0.530871079357156,-0.12972583200301,-1.19855962697036
ONI,2003-05-15,1136,2003,0.907427977085322,0.768613188700669,0.508144298350486,0.623706249826098,0.450872032045814,-0.0682021910117902,-0.191859215443177
ONI,2003-06-15,811,2003,-0.127963275751866,0.292889793164219,0.391206872197369,0.237304276588012,0.358738512982961,-0.264433219563124,0.0321347725887116
ONI,2003-07-15,681,2003,0.348699734211225,-0.0640694214558477,0.338526719693998,0.433438824299346,0.34399862476853,0.109754638124022,0.147959774567845
ONI,2003-08-15,166,2003,-3,-0.924399726199724,-0.93394893582531,-0.0976087271619222,-0.0346637970187815,-0.131240749445165,-0.586671606372285
ONI,2003-09-15,341,2003,-0.0719571591501187,-1.12548182350871,-0.764267710429029,-1.00452332104511,-0.00392760754038231,-0.123279235359258,-0.666753184416412
ONI,2003-10-15,138,2003,-0.71950865021606,-0.87263443643003,-1.48035887573466,-1.12153670549984,-0.498214725652515,-0.398452780016407,-0.684496989308132
ONI,2003-11-15,219,2003,0.612515346878276,-0.550241499251709,-0.800730480010848,-1.42025093147125,-1.21615530519841,-0.523304494064763,-0.490991032813495
ONI,2003-12-15,70,2003,-0.531664295435355,0.0194631035305444,-0.757996156657951,-0.942702242665405,-1.17303668842871,-0.479789606439835,-0.496903682753683
ONI,2004-01-15,59,2004,-0.759100753312957,-1.05560685643291,-0.351750390519758,-0.93780644800044,-1.70209296069785,-0.653245631333334,-0.587125754551091
ONI,2004-02-15,127,2004,-0.656583289244081,-0.835856476379867,-1.03103874053008,-0.63471388226466,-1.27663001473493,-1.55642287558978,-0.810276886909011
ONI,2004-03-15,666,2004,1.79077109674146,1.57344980628621,1.2713819807826,0.713816122330636,-0.132811318171625,-0.804990446160207,-0.201593470125209
ONI,2004-04-15,114,2004,-3,0.148797430636387,-0.0990258967498292,-0.338944587151909,-0.304801814370546,-1.40784740377903,-0.723565447628427
ONI,2004-05-15,941,2004,0.538789417657407,-0.361547582826685,0.393538896309214,0.229300458535246,-0.0514324134039567,-0.434830919679069,-1.13145584781241
ONI,2004-06-15,820,2004,-0.105768223113328,-0.024510286181553,-0.479061709517018,0.15899608531052,-0.0376423023499569,-0.42428946361314,-0.863591575058016
ONI,2004-07-15,691,2004,0.380507534230824,-0.0239002638995078,0.0379479573712996,-0.399515563630614,0.0671690954349837,0.00994211811637035,-0.883445753142023
ONI,2004-08-15,890,2004,1.17084029123123,1.00039139999051,0.631021207972148,0.748718495091659,0.723031492580092,0.397646462407629,0.0592396228157016
ONI,2004-09-15,855,2004,1.01081895903767,1.17708819422018,1.19742726537706,1.07308137614432,0.667192209008248,0.831814504499548,0.547164747380507
ONI,2004-10-15,589,2004,0.625559421974235,0.978390718894264,1.13943476886755,1.14684162844894,1.01307897812743,0.896983161563538,0.761540653827507
ONI,2004-11-15,79,2004,-0.483092913806346,0.327969045656495,0.857290271661235,1.09852552735366,0.939631366915871,0.888138901325634,0.653573895265352
ONI,2004-12-15,33,2004,-3,-1.26723423920143,0.0832099350641493,0.626331235991418,0.925150414664077,0.472024406884548,0.663007271165894
ONI,2005-01-15,41,2005,-1.06728832205165,-2.09072925869999,-1.53696645780123,-0.118761093863404,0.758535743413446,0.72726724642012,0.637296530611045
ONI,2005-02-15,70,2005,-1.27498682795136,-1.87675531653694,-1.85724684130296,-1.73050093817862,0.232264323115644,0.503360296119006,0.592972538930199
ONI,2005-03-15,120,2005,-0.652938326798334,-1.47786784629981,-1.69300379278723,-1.842329488538,-0.985385140164251,0.39634061022716,0.100319947439204
ONI,2005-04-15,364,2005,-0.0641436142991934,-0.81469500248933,-1.15132784451472,-1.41224101670654,-1.69155333582579,0.128814030472286,0.309116818389702
ONI,2005-05-15,969,2005,0.594536355964319,0.172964879003845,-0.0761711481882104,-0.358178078389996,-0.726297175259182,0.185517981841258,0.353789046142707
ONI,2005-06-15,936,2005,0.168914891328993,0.218735142121146,0.0775711170990024,-0.0428631121576177,-0.345130932507044,-0.360626502037779,0.330356151744455
ONI,2005-07-15,361,2005,-0.783183309352024,-0.476331827955126,-0.242868915266517,-0.3157904083201,-0.610673704342913,-0.964697704294079,0.00154281735476292
ONI,2005-08-15,267,2005,-0.565838458525369,-1.49869026657528,-1.17010703113608,-0.535152985146244,-0.752061712214129,-1.47621279375529,-0.423514819717404
ONI,2005-09-15,206,2005,-0.541505777509307,-1.23747966180996,-1.59139157096634,-1.57515393348841,-0.965768237562375,-1.51035366563311,-2.52514170185455
ONI,2005-10-15,144,2005,-0.68459335213352,-1.26208240051962,-1.544711886369,-1.75009012663247,-1.04338653115541,-1.72240313883207,-2.06070903413003
ONI,2005-11-15,282,2005,0.947558244666938,-0.313841576527522,-0.964933501098212,-1.35012714529577,-1.48479145478001,-1.17550976373621,-1.58842998906879
ONI,2005-12-15,151,2005,0.338825324975277,0.736611429879995,-0.240781332663033,-0.907115764361715,-1.48456051842317,-1.0610441316562,-1.4646074254765
ONI,2006-01-15,170,2006,0.610949107138072,0.429106194986059,0.735383186946176,-0.106689456488539,-1.26863421669279,-0.822740099410629,-1.26033295148079
ONI,2006-02-15,323,2006,1.1673549193423,0.993759919677841,0.764421540118276,1.02242791265712,-0.522800074820586,-1.21496559312978,-0.948806680000012
ONI,2006-03-15,282,2006,0.397524421639397,0.81998328973925,0.903817239132236,0.727697894781683,0.0318653100594593,-1.17965640270277,-0.80207357387765
ONI,2006-04-15,431,2006,0.137364154952541,-0.0479183515859195,0.24485009532199,0.307496362398958,0.543044868198088,-0.903109181028293,-0.730531100418002
ONI,2006-05-15,156,2006,-1.98799648601382,-1.43376097622753,-1.28254725716841,-0.995049214441496,-0.882825487830742,-1.7105463442242,-2.05636583136199
ONI,2006-06-15,343,2006,-1.55055948713604,-1.69315627051668,-1.8141328291925,-1.81833105022601,-1.52432719300733,-2.03258669934723,-2.1493455787728
