Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,POR2a6,POR2b6,POR2d7,POR2d7(2)
Plecoptera,Perlodidae,2,,PR/GC/SC,,,,
Odonata,Petaluridae,5,From PA State DENR,,,,,
Dip. Chironomidae,Phaenopsectra sp.,7,,SC/GC,,,,
Trichoptera,Phrygoneidae,5,,SH/PR,,,,
Gastropoda,Physidae,8,,SC,,,,
Pelecypoda,Pisidiidae,8,,,1,,,
Pel. Pisidiidae,Pisidium sp.,8,,GC,,,,
Tricladida,Planariidae,4,,,,,,
Gastropoda,Planorbidae,7,,SC,,,,
Platyhelminthes,Platyhelminthes,-9999,Undetermined,,,3,,
Hemiptera,Pleidae,-9999,Undetermined,PR,,,,
Gastropoda,Pleuroceridae,3.7,From subfamily,SC,,,,
Tri. Polycentropodidae,Poly. Polycentrous cinereus,6,,PR (FC),,,1,
Trichoptera,Polycentropodidae,4,Averaged from genus,GC/PR,,,,
Ephemeroptera,Polymitoreyidae,2,,GC,,,,
Dip. Chironomidae,Polypedilum sp.,6,,SH,,,,
Dip. Ceratopogonidae,Probezzia sp.,6,,PR,,,,
Dip. Chironomidae,Procladius sp.,9,,PR,,,,
Dip. Chironomidae,Prodiamesa sp.,3,,GC,,,,
Coleoptera,Psephenidae,4,,,,,,
Dip. Chironomidae,Pseudochironomus sp.,5,,GC,1,,4,
Plecoptera,Pteronorcydae,2,Averaged from genus,SC,,,,
Coleoptera,Ptilodactylia,5,,SH,,,,
Diptera,Ptychopteridae,7,,GC,,,3,
Lepidoptera,Pyralidae,5,,SH,,,,
Dip. Chironomidae,Robackia claviger,2.4,,GC,,,,
Trichoptera,Ryacophilidae,1,Averaged from genus,,,,,
Dip. Chironomidae,Saetheria tylus,4,,GC,,,,
Diptera,Sciomyzidae,6,,PR,,7,,
Megaloptera,Sialidae,4,,PR,,,,
Diptera,Simuliidae,6,,FC,,,,
Dip. Simuliidae,Simulium sp.,6,,FC,,,,
Ephemeroptera,Siphlonuridae,7,,GC,,,,
Acari,Sperchon sp.,8,,,,,,
Pelecypoda,Sphaeriidae,8,,FC,,,,
Pel. Sphaeriidae,Sphaerium sp.,5.3,Averaged from regional,GC,,,,
Coleoptera,Staphylinidae,8,,PR,,,,
Diptera,Stratiomyidae,8,,GC,,,,
Tri. Hydropsychidae,Symphitopsyche ,4,(from family level),FC,,,,
Diptera,Tabanidae,8,,PR,,,,
Plecoptera,Taeniopterygidae,2,,SH/GC/SC,,,,
Amphipoda,Talitridae,8,,GC,,,,
Dip. Chironomidae,Tanypus sp.,10,,PR/GC,,,1,
Dip. Chironomidae,Thienemanniella sp.,6,,PR (CG),3,1,,1
Diptera,Tipula sp.,4,,SH (GC),,,,
Diptera,Tipulidae,3,,SH (GC),,,,
Ephemeroptera,Tricorythidae,5,,GC,,,,
Eph. Tricorythidae,Tricorythodes sp.,5,,GC,,,,
Platyhelminthes,Turbellaria,4,,PR,,7,,
Hemiptera,Valiidae,-9999,Undetermined,,,,,
Gastropoda,Viviparidae,6,,SC,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
