Order,Family,Benthic Tolerance,Notes,Functional Feeding Designation,BLC1a6,BLC1b6,BLC1d8
Diptera,Tipulidae,3,,SH (GC),,,
Diptera,Tipula sp.,4,,SH (GC),,,
Amphipoda,Talitridae,8,,GC,71,2,
Amphipoda,Gammaridae,6,,GC,,,2
Amp. Gammaridae,Hyalella sp.,8,,,,,
Decapoda,Cambaridae,-9999,Undetermined,,,,
Decapoda,Palaemonidae,4,,,,3,
Decapoda,Astacidae,8,,,,,
Pelecypoda,Sphaeriidae,8,,FC,4,,
Pel. Sphaeriidae,Sphaerium sp.,5.3,Averaged from regional,GC,,,
Pelecypoda,Pisidiidae,8,,,,,
Pel. Pisidiidae,Pisidium sp.,8,,GC,,,
Veneroida,Corbiculidae,3.1,From genus,,,,
Gastropoda,Gastropoda,7,,SC,,,
Gastropoda,Lymnaeidae,6.5,Averaged from regional,SC,,,
Gastropoda,Physidae,8,,SC,,,
Gastropoda,Planorbidae,7,,SC,,,
Gas. Planorbidae,Ferrissia sp.,7,From family,FC,,,
Gastropoda,Pleuroceridae,3.7,From subfamily,SC,,,
Gastropoda,Viviparidae,6,,SC,,,
Annelida,Oligochaeta,10,,GC,,11,3
Ann. Oligochaeta,Naididae,8,,GC,,,
Ann. Oligochaeta,Enchytraeidae,10,,,,,
Ann. Oligochaeta,Limnodrilus hoffmeisteri,9.8,,,,,
Ann. Oligochaeta,Limnodrilus udekemianus,9.7,,,,,
Hirudinea sub-class,Hirudinea sub-class,10,,PR,1,,
Hirudinea sub-class,Hirudidae,7,,PR,,,
Hirudinea sub-class,Hirudinea-Glossiphoniidae,8,,PR,,,
Acari,Acari,8,From genera,,,,
Acari,Hydrachnida,8,From genera,,,,
Acari,Hygrobates sp.,8,,,,,
Acari,Sperchon sp.,8,,,,,
Other Organisms,Lebertia sp.,8,,,,,
Platyhelminthes,Platyhelminthes,-9999,Undetermined,,,,
Platyhelminthes,Turbellaria,4,,PR,,,
Tricladida,Planariidae,4,,,,,
Arthronod/ worm like,Nematomorpha,,U,PA,,,
