group,sta,PC1_mean,PC2_mean,q1_mean,q7_mean,q30_mean,q1_q30_mean,eigen_dist,prob,type
V1,whi_slm,-0.0451137880208438,0.0933462583289305,-0.0403624680811391,0.0235208043905609,0.0960411177277109,-0.13640358580885,0.103676312692924,1,dry
V1,whi_whi,0.346021904484023,0.102086074664068,-0.268904091389864,-0.210079935230972,-0.119083123194832,-0.149820968195032,0.360766856879991,1,dry
V2,bat_her,-0.399570608929373,-0.0182585333375366,0.238643730294734,0.240794075584616,0.212302774306394,0.0263409559883401,0.399987556756242,0.999996575944489,dry
V2,bev_buf,-0.53100432471019,-0.0202441975908109,0.317073515323231,0.316315352004055,0.285984530233915,0.0310889850893156,0.531390083081177,0.999999910846855,dry
V2,fal_hot,-1.01723662577157,-0.0491488701864091,0.629911995127925,0.58698416767923,0.544472718324391,0.0854392768035334,1.01842327362042,0.862088252250539,dry
V2,frn_fai,-0.270487480532484,-0.00917106648203704,0.155868547593073,0.167258782277644,0.145121443784468,0.0107471038086045,0.270642911573957,0.999962025619804,dry
V2,lcr_bel,-0.760670331492362,-0.00208496490087543,0.446119114264763,0.438190941824919,0.433199443025947,0.0129196712388164,0.760673188886882,0.999999897974836,dry
V2,lcr_vet,-0.730195532271792,-0.0313848495708863,0.445176521231075,0.426611288325289,0.392535229927466,0.0526412913036097,0.730869703936532,0.99997752963021,dry
V2,lwr_abv,-0.771205277258426,-0.0342075790931407,0.471434247921841,0.449964065906423,0.413928966750667,0.0575052811711732,0.771963560110618,0.999935109088238,dry
V2,lwr_mar,-0.504439462850093,-0.0199291996271414,0.301972557711294,0.30017419559383,0.271229179255116,0.030743378456178,0.504832986915741,0.999999822663183,dry
V2,lwr_ros,-0.839054983582116,-0.037424364379425,0.514407494886736,0.487835848503898,0.450585073126826,0.0638224217599103,0.839889188240442,0.999605307321709,dry
V2,lwr_whi,-0.69001168436881,-0.0278348102546289,0.417997286566019,0.404843282821034,0.371901907083249,0.0460953794827697,0.690572879012341,0.999997096689071,dry
V2,rap_far,-0.654333168941268,-0.0179693567417205,0.389502666261424,0.384781454787151,0.358762658814227,0.0307400074471965,0.654579860489485,0.999999910086422,dry
V2,wcc_ogl,-0.730792406095319,-0.0121676411534621,0.435881325450886,0.42122422020866,0.408539237184798,0.0273420882660879,0.730893694252334,0.999997737807955,dry
V3,bev_abf,-1.46035393201918,-0.0797604330648775,0.920956124904064,0.830073974786802,0.777674078542988,0.143282046361075,1.46253045556206,0.999999878791654,dry
V3,lcr_abv,-1.25167421547613,-0.0633501083613586,0.782020081794246,0.716112414174066,0.669221169605066,0.11279891218918,1.25327633741214,0.998600508959797,dry
V3,ros_ros,-1.30915705172812,-0.0694318554028092,0.821308513124033,0.747671808532772,0.697891412458297,0.123417100665736,1.31099693692782,0.999927785962913,dry
V3,spr_her,-0.778239753912329,-0.0511792357329899,0.498694037520779,0.440410095839065,0.408402659317374,0.0902913782034054,0.779920783631091,0.993509414026703,dry
V3,wkc_wok,-1.60406615167479,-0.0960437359036223,1.02035471695429,0.908489476082675,0.848658674921969,0.171696042032319,1.60693889683308,0.999999999962845,dry
V4,blp_bel,0.5617293658047,0.21023087454432,-0.459597921422697,-0.353387596115899,-0.157257813980926,-0.302340107441771,0.599780710776047,1,dry
V5,brsf_co,2.38798353276547,0.284005933699719,-1.54626718723843,-1.45004812516861,-1.13571577083383,-0.410551416404598,2.40481282496907,1,dry
V6,bat_bhr,0.233818647845034,-0.00527950566462771,-0.139187785144023,-0.126511977853458,-0.139457375324241,0.000269590180218388,0.233878244520825,0.998309628229357,dry
V6,bev_pri,0.246871482415377,-0.0121158661251217,-0.150931800851563,-0.122364950615557,-0.154699929208962,0.00376812835739919,0.247168612574347,0.999903805562838,dry
V6,che_buf,0.678547341759487,-0.0157057297755501,-0.406348295142274,-0.363689836685456,-0.405788000838372,-0.000560294303901418,0.678729080677003,0.999999999993455,dry
V6,che_red,0.570093185108566,-0.0123251089733263,-0.344651074545453,-0.302229753740915,-0.341044622379523,-0.00360645216593005,0.570226400667695,0.999999999291319,dry
V6,whi_ogl,1.03057030878926,-0.00813211115454405,-0.603173244558591,-0.584964729577191,-0.597085247594765,-0.00608799696382634,1.03060239306428,1,dry
V6,whi_sta,0.706890798286619,0.0143264413236719,-0.430001397104064,-0.399160126766576,-0.395171237776978,-0.0348301593270867,0.707035959215155,0.999999988596933,dry
V7,hat_edg,2.90472545461487,-0.0707803054992591,-1.63927567412203,-1.68142157787867,-1.71115308656512,0.071877412443084,2.90558768897691,1,dry
V8,hor_oel,4.07354226918426,-0.197342264912049,-2.24428099696133,-2.33563044365626,-2.47805551104228,0.23377451408095,4.07831957898733,1,dry
